Epoch	Loss	Train	Test
0	2.3133041858673096	0.10527083277702332	0.10239999741315842
1	2.308452844619751	0.10527083277702332	0.10239999741315842
2	2.3058176040649414	0.10525000095367432	0.10239999741315842
3	2.303942918777466	0.11235416680574417	0.1136000007390976
4	2.3026061058044434	0.11239583045244217	0.1137000024318695
5	2.301647186279297	0.11239583045244217	0.1137000024318695
6	2.3009567260742188	0.11249999701976776	0.1137000024318695
7	2.30045747756958	0.11254166811704636	0.1137000024318695
8	2.3000946044921875	0.11256249994039536	0.1137000024318695
9	2.299830436706543	0.11254166811704636	0.11389999836683273
10	2.29963755607605	0.11256249994039536	0.11389999836683273
11	2.2994961738586426	0.11256249994039536	0.11389999836683273
12	2.2993898391723633	0.11254166811704636	0.11389999836683273
13	2.2993102073669434	0.11254166811704636	0.11389999836683273
14	2.299250841140747	0.11254166811704636	0.11400000005960464
15	2.299206256866455	0.11254166811704636	0.11389999836683273
16	2.2991738319396973	0.11264583468437195	0.11400000005960464
17	2.2991466522216797	0.11264583468437195	0.11389999836683273
18	2.2991271018981934	0.11264583468437195	0.11379999667406082
19	2.2991116046905518	0.11262500286102295	0.11389999836683273
20	2.299100399017334	0.11260416358709335	0.11389999836683273
21	2.2990903854370117	0.11260416358709335	0.11379999667406082
22	2.2990832328796387	0.11256249994039536	0.11379999667406082
23	2.299077272415161	0.11256249994039536	0.11379999667406082
24	2.299074411392212	0.11258333176374435	0.11379999667406082
25	2.299069881439209	0.11256249994039536	0.11379999667406082
26	2.2990660667419434	0.11256249994039536	0.11379999667406082
27	2.2990620136260986	0.11256249994039536	0.11379999667406082
28	2.2990567684173584	0.11256249994039536	0.11379999667406082
29	2.2990524768829346	0.11260416358709335	0.11379999667406082
